No Weight
Ch.#,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
Ch.Bd,,,,1,1.0715,1.1482,1.2303,1.3183,1.4125,1.5136,1.6218,1.7378,1.8621,1.9953,2.138,2.2909,2.4547,2.6303,2.8184,3.02,3.2359,3.4674,3.7154,3.9811,4.2658,4.5709,4.8978,5.2481,5.6234,6.0256,6.4565,6.9183,7.4131,7.9433,8.5114,9.1201,9.7724,10.471,11.22,12.023,12.882,13.804,14.791,15.849,16.982,18.197,19.498,20.893,22.387,23.988,25.704,27.542,29.512,31.623,33.884,36.308,38.905,41.687,44.668,47.863,51.286,54.954,58.884,63.096,67.608,72.444,77.625,83.176,89.125,95.499,102.33,109.65,117.49,125.89,134.9,144.54,154.88,165.96,177.83,190.55,204.17,218.78,234.42,251.19,269.15,288.4,309.03,331.13,354.81,380.19,407.38,436.52,467.74,501.19,537.03,575.44,616.6,660.69,707.95,758.58,812.83,870.96,933.25,1000
Ch. Midpoints,,,,1.0351,1.1092,1.1885,1.2735,1.3646,1.4622,1.5668,1.6788,1.7989,1.9275,2.0654,2.2131,2.3714,2.541,2.7227,2.9174,3.1261,3.3497,3.5892,3.8459,4.121,4.4157,4.7315,5.0699,5.4325,5.821,6.2373,6.6834,7.1614,7.6736,8.2224,8.8105,9.4406,10.116,10.839,11.614,12.445,13.335,14.289,15.311,16.406,17.579,18.836,20.184,21.627,23.174,24.831,26.607,28.51,30.549,32.734,35.075,37.584,40.272,43.152,46.238,49.545,53.088,56.885,60.954,65.313,69.984,74.989,80.353,86.099,92.257,98.855,105.93,113.5,121.62,130.32,139.64,149.62,160.32,171.79,184.08,197.24,211.35,226.46,242.66,260.02,278.61,298.54,319.89,342.77,367.28,393.55,421.7,451.86,484.17,518.8,555.9,595.66,638.26,683.91,732.82,785.24,841.4,901.57,966.05
1,11/27/2020,10:48:05 AM,"",0,0,0.02701,0.078514,0.084129,0.090146,0.11606,0.207,0.22181,0.23767,2.0397,2.2513,2.632,3.2898,3.7301,6.0255,6.1839,5.1628,5.635,6.1648,3.7596,3.0489,2.4072,1.8172,0.51283,0.70634,0.55159,0.35926,0.31584,0.62626,0.7107,1.1145,0.69996,1.394,0.98438,0.58701,1.4039,0.77143,0.79795,0.35693,0.17847,0.17847,0.49009,0.22378,0,0.17847,0.17847,0,0,0,0,0,0,0,0,0.17847,0,0,0.17847,0.5354,0,0.17847,0,0.5354,0.17847,0,0,0,0.17847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,11/27/2020,10:48:15 AM,"",0,0,0,0,0,0,0.029154,0.15505,0.16614,0.17802,1.9735,2.1802,2.7262,3.7548,4.179,6.0176,6.544,7.5278,7.141,6.5119,4.8459,3.5069,2.1712,1.4751,0.99302,0.83899,0.025194,0.20575,0.22047,0.23624,0.025272,0.4279,0.51544,1.0613,1.7742,1.2217,0.77635,0.99929,2.1195,0.77242,0.65366,0.19388,0,0.17823,0.35646,0.17823,0.17823,0,0,0,0,0,0,0,0.35646,0.35646,0.53469,0.17823,0,0,0,0,0,0,0.17823,0.17823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,11/27/2020,10:48:25 AM,"",0.031825,0.034102,0.05001,0.078308,0.083908,0.089909,0.12546,0.25807,0.27653,0.29631,1.8523,2.0412,2.6011,3.6717,4.0898,5.92,6.4233,7.3119,7.1163,6.7398,4.8563,3.4263,2.5886,3.1297,1.3674,1.8775,0.55014,0.51626,0.78588,0.40226,0.2528,0.12843,0.2547,0.52073,0.83552,0.54516,0.44597,1.052,1.3259,0.18196,0.35599,0,0.35599,0.35599,0.3503,0.53449,0.0051934,0,0.178,0,0,0.178,0,0.178,0,0,0,0.49313,0.39685,0.178,0,0,0.35599,0,0,0,0,0,0,0,0,0.178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,11/27/2020,10:48:35 AM,"",0,0,0.013505,0.039257,0.042065,0.045073,0.07749,0.207,0.22181,0.23767,1.4857,1.6373,2.6331,4.6997,5.1424,6.5651,7.0507,7.641,7.1582,6.402,6.8598,4.682,2.7276,2.5343,0.84776,1.031,0.435,0.71853,0.63168,0.79303,0.225,0.38632,0.15381,0.59186,0.34314,0.5477,0.97244,0.42498,0.35295,0.47197,0.32726,0.36343,0.090568,0.041476,0.31546,0.35172,0.0052071,0.17847,0.17847,0,0,0.17847,0.17847,0.17847,0,0,0.038432,0.20878,0.28818,0.17847,0.17847,0,0,0.17847,0.35693,0,0.17847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,11/27/2020,10:48:45 AM,"",0.033179,0.035552,0.066179,0.12246,0.13121,0.1406,0.17089,0.26905,0.28829,0.30891,2.0591,2.2699,3.1175,4.8052,5.4218,8.5095,8.9847,8.9113,7.8897,6.4101,6.8685,4.7437,3.4259,4.6361,2.2745,2.5527,1.8255,1.758,0.68863,0.41937,0.44912,0.2824,0.037063,0.21864,0.35679,0.37341,0.42666,0.85842,0.54957,0.97323,0.32573,0.5567,0.37113,0.37113,0.17963,0.1915,0.18557,0,0.14478,0.22635,0,0.18557,0.18557,0.18557,0.18557,0,0.37113,0.18557,0,0,0,0,0,0.18557,0.18557,0.18557,0.18557,0,0,0,0.18557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,11/27/2020,10:48:55 AM,"",0.031868,0.034147,0.063563,0.11762,0.12603,0.13504,0.20301,0.46515,0.49842,0.53406,1.9861,2.1802,3.0918,4.9282,5.4937,7.9936,8.6613,9.7966,9.2122,8.288,8.0517,5.747,3.2208,1.9005,1.2124,1.9028,0.88453,0.35879,0.12552,0.30592,0.58524,0,0.076806,0.52142,0.83663,0.53579,0.52461,0.18166,0.53127,0.28915,0.50507,0.63164,0.13298,0.045251,0.17823,0.35646,0,0,0,0,0,0,0,0,0,0,0,0.35646,0,0.17823,0,0,0.36748,0.34545,0,0.17823,0,0,0,0,0,0,0,0.17823,0,0,0,0,0.17823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,11/27/2020,10:49:05 AM,"",0.031868,0.034147,0.063563,0.11762,0.12603,0.13504,0.18357,0.36178,0.38766,0.41538,1.859,2.044,2.9215,4.6935,5.1849,7.0954,7.8591,9.7966,10.137,10.419,8.0851,5.1542,2.724,2.7238,2.2997,1.7008,0.35885,0.20575,0.22047,0.083278,0.45572,0.25721,0.17823,0.031763,0.14647,0.02018,0.33628,0.71635,1.4065,0.30504,0.78024,0.26602,0.22343,0.22348,0.34507,0.011397,0,0,0.17823,0,0,0.17823,0,0.17823,0.17823,0,0,0,0,0.13177,0.046459,0,0.17823,0,0,0.17823,0.35646,0.17823,0.17823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,11/27/2020,10:49:15 AM,"",0.095603,0.10244,0.09628,0.078412,0.084019,0.090029,0.096467,0.10337,0.11076,0.11868,1.4181,1.567,2.3129,3.8331,4.3611,7.1852,7.619,7.7341,8.5957,9.5904,6.7233,5.1056,3.8893,3.7154,1.6516,1.3424,0.075583,0.66998,0.69197,0.31952,0.481,0.25721,0.78974,0.10143,0.38345,0.86418,0.42998,0.90847,0.61813,0.36044,0.17823,0.26602,0.090449,0.17823,0,0,0,0,0,0.17823,0,0,0,0.17823,0,0,0.17823,0.17823,0.17823,0,0,0.5347,0.17823,0.17823,0.35646,0,0,0,0.31099,0.045471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
